koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,target
5626.0,77.0,-77.0,4.149,0.188,-0.101,0.14,0.15,-0.15,1.389,0.223,-0.298,0.991,0.079,-0.065,293.62976,45.74065,15.589,16.105,15.522,15.367,15.26,14.323,13.995,13.949,0.167,19.575334,2.1e-05,45.74082,0.00026,0.64,0.81,0.61,0.95,-0.00017,0.00019,-0.00018,0.00022,1.06,0.34,0.33,0.47,1.11,0.36,1.06,0.34,0.26,0.47,1.09,0.35,1
6311.0,151.0,-227.0,4.398,0.052,-0.195,0.21,0.2,-0.35,1.172,0.353,-0.141,1.253,0.134,-0.184,292.9418,46.193691,15.0,15.411,14.937,14.824,14.779,13.984,13.681,13.732,0.6,19.52945,5.5e-05,46.19339,0.00054,-0.1,2.0,-1.1,1.9,0.0,0.00052,0.00026,0.00049,-1.8,1.1,-0.4,1.2,1.8,1.1,-1.8,1.0,-0.44,0.67,1.86,0.98,0
5668.0,85.0,-76.0,3.792,0.255,-0.102,0.14,0.15,-0.15,2.437,0.423,-0.785,1.338,0.102,-0.256,298.11887,40.37505,14.276,14.798,14.229,14.052,13.905,12.994,12.643,12.603,0.001,19.874533,2.4e-05,40.37472,0.0003,-2.44,1.0,-1.2,1.1,0.00031,0.00012,0.0001,0.00013,0.41,0.99,0.4,0.4,0.58,0.77,0.5,1.0,0.36,0.42,0.62,0.81,1
6032.0,190.0,-232.0,4.358,0.112,-0.192,-0.04,0.25,-0.3,1.114,0.348,-0.187,1.033,0.159,-0.13,292.97159,37.65733,14.615,15.115,14.566,14.401,14.312,13.421,13.133,13.077,0.0,19.53156,1.7e-05,37.65762,0.00019,5.17,0.72,1.06,0.69,-0.000535,7.7e-05,-0.000173,7.5e-05,3.236,0.078,1.127,0.078,3.427,0.078,3.233,0.078,1.119,0.078,3.422,0.078,0
4126.0,82.0,-82.0,4.668,0.022,-0.022,-0.06,0.15,-0.15,0.602,0.028,-0.028,0.616,0.033,-0.033,292.19397,47.457088,15.962,17.153,15.934,15.452,15.173,14.032,13.341,13.253,0.042,19.479578,2.4e-05,47.45735,0.00022,-0.77,0.88,0.93,0.81,0.00052,0.0005,-0.0005,0.00046,-0.11,0.35,-0.11,0.38,0.16,0.36,-0.07,0.35,-0.08,0.38,0.11,0.37,1
5796.0,162.0,-148.0,4.466,0.075,-0.273,-0.3,0.3,-0.26,0.906,0.371,-0.1,0.876,0.124,-0.072,288.9754,41.082241,14.768,15.281,14.715,14.549,14.448,13.478,13.088,13.035,0.463,19.264997,5e-05,41.08217,0.00046,-1.2,2.0,-0.2,1.7,0.0006,0.001,0.00013,0.00083,1.9,2.1,-3.6,1.6,4.1,2.4,2.0,2.6,-3.6,1.9,4.1,2.1,0
5231.0,83.0,-73.0,4.455,0.091,-0.049,0.14,0.15,-0.15,0.9,0.059,-0.081,0.844,0.06,-0.033,283.97751,44.811562,15.011,15.575,14.926,14.77,14.632,13.685,13.283,13.222,0.004,18.93183384,4.9e-07,44.8115753,5.3e-06,0.021,0.019,0.055,0.019,-0.0006,0.0016,0.0004,0.0022,0.012,0.067,-0.01,0.067,0.016,0.067,0.058,0.074,-0.015,0.068,0.06,0.074,1
6088.0,165.0,-201.0,4.446,0.084,-0.196,-0.4,0.3,-0.3,0.958,0.28,-0.12,0.934,0.119,-0.108,292.98834,49.48497,15.18,15.638,15.149,14.984,14.916,14.021,13.68,13.677,0.03,19.532507,3.1e-05,49.48526,0.00033,-1.7,1.1,1.0,1.2,0.00019,0.00012,-0.00012,0.00013,-0.18,0.21,-0.33,0.36,0.38,0.33,-0.22,0.2,-0.37,0.36,0.43,0.32,1
2900.0,0.0,0.0,5.224,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.107,0.0,0.0,288.11703,38.437733,15.918,17.219,15.904,15.359,13.813400000000001,11.201,10.647,10.311,0.0,19.208032,2.6e-05,38.43439,0.00031,9.7,1.1,-12.0,1.1,-0.000522,9.2e-05,0.000794,9e-05,3.04,0.16,-3.53,0.2,4.66,0.23,6.43,0.12,-5.85,0.15,8.69,0.15,0
5619.0,173.0,-156.0,4.536,0.03,-0.291,0.02,0.22,-0.26,0.874,0.366,-0.067,0.956,0.088,-0.092,296.38229,48.045311,15.488,16.084,15.416,15.233,15.129,14.11,13.804,13.859,0.29960000000000003,19.7645406,3.192e-05,48.0744158,0.00028639999999999997,-0.41999999999999993,1.14,-1.544,1.02,9.4e-05,0.0007059999999999999,0.000564,0.00067,0.8400000000000001,0.632,-2.2720000000000002,0.634,2.814,0.78,0.774,0.636,-2.298,0.6319999999999999,2.794,0.764,0
5674.4,130.4,-136.8,4.289199999999999,0.1776,-0.1306,-0.015999999999999997,0.22000000000000003,-0.2,1.2366,0.23959999999999998,-0.306,0.9814,0.0968,-0.0942,292.93964,42.244156,12.484,12.598,12.413,12.438,12.240400000000001,11.211,10.963,10.883,0.013,19.529345,2.4e-05,42.24442,0.00023,1.44,0.96,0.95,0.81,-2.6e-05,1.7e-05,-1.5e-05,1.4e-05,0.15,0.23,0.54,0.47,0.56,0.45,0.17,0.23,0.58,0.47,0.61,0.45,0
