kepoi_name,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition
K04418.01,5743.0,171.0,-183.0,4.534,0.028,-0.273,0.07,0.19,-0.29,0.903,0.328,-0.072,1.018,0.104,-0.125,293.01489,38.012402,15.954,16.536,15.894,15.705,15.621,14.645,14.261,14.23,0.0962,19.4558918,4.24e-05,38.568798,0.00051,5.2,1.8,4.5,1.8399999999999999,-0.0008879999999999999,0.000992,-0.001726,0.001042,0.8119999999999999,0.9606,1.6976,0.6316,2.7967999999999997,0.8718,0.6506,1.0082,1.5876000000000001,0.6216,3.098,0.9443999999999999,CANDIDATE
K02949.02,5866.0,105.0,-117.0,4.191,0.162,-0.108,0.0,0.15,-0.15,1.339,0.209,-0.256,1.016,0.101,-0.07,285.87579,41.332432,13.313,13.728,13.264,13.135,13.079,12.222,11.973,11.903,0.018,19.058438,3.3e-05,41.33275,0.00037,2.2,1.3,1.1,1.3,-8.1e-05,4.6e-05,-4.1e-05,4.7e-05,-0.6,0.25,-1.5,1.3,1.6,1.1,-0.76,0.22,-1.6,1.3,1.7,1.1,CANDIDATE
K04419.01,3939.0,55.0,-62.0,4.736,0.028,-0.035,-0.2,0.2,-0.2,0.526,0.035,-0.035,0.55,0.031,-0.039,281.11646,43.28244,15.174,16.499,15.164,14.607,14.288,13.044,12.417,12.272,0.007,18.741034,1.2e-05,43.28236,0.00012,-2.47,0.46,-0.28,0.43,-2e-05,0.00011,0.000159,0.0001,2.8,1.3,-0.94,0.87,3.0,1.4,-1.1,1.2,0.55,0.94,1.2,1.5,CANDIDATE
K04421.01,5950.0,71.0,-83.0,4.323,0.096,-0.144,0.14,0.15,-0.15,1.196,0.235,-0.157,1.1,0.077,-0.07,294.12488,46.67289,12.788,13.153,12.741,12.632,12.6,11.729,11.453,11.409,0.039,19.608342,2.6e-05,46.67208,0.00047,0.58,0.98,-2.9,1.7,-1.3e-05,2.5e-05,5.7e-05,4.3e-05,-0.3,1.0,0.03,0.73,0.3,1.0,-0.2,1.1,0.33,0.68,0.39,0.8,CANDIDATE
K04212.02,6174.0,74.0,-86.0,4.244,0.125,-0.125,0.02,0.15,-0.15,1.318,0.243,-0.199,1.109,0.113,-0.066,292.20471,37.221218,13.96,14.382,13.91,13.779,13.707,12.888,12.604,12.59,0.213,19.480344,3.3e-05,37.22112,0.00042,1.3,1.4,-0.3,1.5,-0.00012,0.00014,-0.0001,0.00015,0.5,1.4,-0.8,2.3,1.0,2.1,0.5,1.4,-0.8,2.3,1.0,2.1,CANDIDATE
K04287.01,6134.0,124.0,-124.0,4.065,0.182,-0.098,0.02,0.15,-0.15,1.665,0.293,-0.358,1.173,0.143,-0.107,290.45831,48.661369,11.265,11.57,11.216,11.134,11.139,10.314,10.115,10.044,0.03,19.363856,2e-05,48.66112,0.00021,-1.1,0.71,-0.88,0.75,3.6e-05,2.8e-05,3.4e-05,3e-05,-1.07,0.4,0.19,0.52,1.09,0.41,-1.18,0.39,-0.22,0.54,1.2,0.4,CANDIDATE
K02590.02,6311.0,113.0,-126.0,4.116,0.168,-0.112,0.02,0.15,-0.15,1.642,0.293,-0.358,1.286,0.114,-0.152,293.50702,50.450119,11.638,11.931,11.583,11.513,11.5,10.661,10.452,10.406,0.0,19.567105,2.7e-05,50.44908,0.00027,-1.0,0.92,-3.75,0.99,4.4e-05,3.6e-05,0.000142,3.9e-05,-0.44,0.46,1.2,1.3,1.3,1.2,-0.38,0.46,1.1,1.3,1.2,1.2,CANDIDATE
K04357.01,4939.0,81.0,-44.0,3.635,0.096,-0.144,-0.18,0.15,-0.1,2.377,0.627,-0.209,0.889,0.154,-0.016,292.90771,38.68309,15.069,15.804,15.032,14.754,14.544,13.505,13.028,12.97,0.0,19.527163,2.4e-05,38.68256,0.00025,-0.7,1.0,-1.9,0.9,0.00013,0.00013,0.00028,0.00012,0.73,0.72,-0.41,0.57,0.84,0.69,1.0,1.1,-0.06,1.0,1.0,1.1,CANDIDATE
K04426.01,6282.0,167.0,-209.0,4.151,0.224,-0.268,-0.22,0.26,-0.3,1.449,0.762,-0.374,1.084,0.291,-0.145,294.45038,44.166779,13.665,14.076,13.633,13.488,13.449,12.553,12.283,12.242,0.06420000000000001,19.638890800000002,3.6e-05,43.352965999999995,0.00041799999999999997,-1.286,1.432,-0.716,1.5079999999999998,0.0002814,0.000269,9.659999999999999e-05,0.0002824,0.026000000000000002,1.2479999999999998,0.10599999999999996,0.702,0.9559999999999998,1.302,0.09200000000000001,0.9560000000000001,0.08200000000000003,0.666,1.016,0.998,CANDIDATE
K04288.02,5888.0,105.0,-129.0,4.275,0.144,-0.108,0.06,0.15,-0.15,1.227,0.207,-0.186,1.036,0.089,-0.08,287.37125,39.603569,12.4,12.759,12.341,12.246,12.234,11.331,11.106,11.025,0.0,19.158036,2.3e-05,39.60395,0.00029,-2.01,0.97,1.4,1.1,8.4e-05,3.7e-05,-5.1e-05,4.1e-05,0.1,0.46,0.42,0.65,0.43,0.64,0.22,0.46,0.6,0.64,0.64,0.63,CANDIDATE
K04358.01,6075.0,189.0,-210.0,4.486,0.054,-0.216,-0.12,0.25,-0.35,0.969,0.3,-0.1,1.048,0.139,-0.139,289.08313,42.70414,15.716,16.197,15.662,15.51,15.444,14.473,14.128,14.022,0.585,19.272236,3.6e-05,42.70406,0.00035,1.1,1.4,-0.3,1.3,-0.00062,0.00092,7e-05,0.00088,0.03,0.38,0.19,0.37,0.19,0.37,0.01,0.38,0.05,0.36,0.06,0.36,CANDIDATE
K04361.01,5579.0,166.0,-166.0,4.413,0.12,-0.18,-0.02,0.25,-0.3,0.972,0.261,-0.141,0.893,0.111,-0.074,282.16364,43.510132,15.183,15.771,15.131,14.93,14.877,13.873,13.438,13.365,0.118,18.810953,3e-05,43.51016,0.00032,1.8,1.2,0.1,1.2,-0.0022,0.0015,-0.0003,0.0016,0.22,0.42,-0.07,0.23,0.23,0.4,0.16,0.33,-0.35,0.37,0.39,0.39,CANDIDATE
K04427.01,3788.0,76.0,-84.0,4.774,0.036,-0.04,-0.1,0.15,-0.15,0.49,0.037,-0.041,0.52,0.034,-0.042,295.11722,39.27409,15.645,17.167,15.783,14.993,14.552,13.339,12.684,12.499,0.352,19.674508,2.4e-05,39.27422,0.00029,1.1,1.0,0.5,1.0,0.0001,0.0011,0.0008,0.0011,-0.54,0.32,0.42,0.27,0.68,0.3,0.29,0.31,0.88,0.29,0.92,0.29,CANDIDATE
K04428.01,5796.0,155.0,-173.0,4.575,0.044,-0.176,-0.4,0.3,-0.3,0.8,0.218,-0.068,0.882,0.096,-0.096,298.2934,40.239632,14.634,15.15,14.593,14.413,14.31,13.436,13.072,13.0,0.001,19.886263,1.7e-05,40.23963,0.00015,1.51,0.69,0.01,0.53,0.00014,0.00014,-0.00021,0.00011,-2.21,0.99,0.79,0.7,2.35,1.0,-0.75,0.97,-0.27,0.73,0.8,0.94,CANDIDATE
K02972.02,5850.0,70.0,-88.0,4.297,0.12,-0.12,0.16,0.15,-0.15,1.217,0.199,-0.163,1.072,0.07,-0.078,290.73447,45.297791,15.085,15.578,15.019,14.873,14.775,13.845,13.543,13.464,0.0,19.382235,1e-05,45.298355,8.6e-05,-2.37,0.38,2.03,0.31,-0.0002,0.00013,0.00022,0.00011,5.25,0.62,-3.78,0.63,6.47,0.85,-0.92,0.61,0.9,1.2,1.26,0.9,CANDIDATE
K04430.01,5262.0,158.0,-142.0,4.59,0.032,-0.104,-0.02,0.3,-0.3,0.783,0.122,-0.066,0.875,0.062,-0.093,288.59683,46.326038,15.544,16.215,15.471,15.256,15.115,14.188,13.679,13.636,0.018,19.239767,1.9e-05,46.32577,0.00019,-0.78,0.73,-0.96,0.69,0.00015,0.00013,0.00016,0.00012,-0.13,0.32,-0.39,0.5,0.41,0.42,-0.13,0.28,-0.38,0.45,0.4,0.39,CANDIDATE
K04296.01,5615.0,112.0,-112.0,4.477,0.088,-0.072,-0.4,0.15,-0.15,0.85,0.088,-0.072,0.79,0.064,-0.035,282.63617,43.3661,13.03,13.404,12.977,12.87,12.84,11.901,11.59,11.559,0.0,18.842386,2.9e-05,43.36699,0.00031,-1.0,1.1,3.2,1.1,4.1e-05,5e-05,-0.000107,4.8e-05,0.3,0.79,0.24,0.98,0.4,1.1,0.38,0.68,0.92,0.85,1.0,0.98,CANDIDATE
K04363.01,5162.0,181.0,-181.0,4.411,0.144,-0.252,0.32,0.15,-0.3,0.958,0.255,-0.157,0.862,0.073,-0.06,294.36514,46.501759,16.084,16.956,15.977,15.711,15.566,14.595,14.105,13.943,0.0,19.6243251,1e-05,46.500941,4.8e-05,-0.66,0.37,-2.95,0.17,-0.0008,0.0015,-0.0008,0.0018,-0.73,0.24,1.35,0.18,1.53,0.2,-2.33,0.24,-0.99,0.18,2.53,0.23,CANDIDATE
K02722.05,6052.0,121.0,-133.0,4.285,0.137,-0.112,-0.12,0.15,-0.15,1.202,0.208,-0.189,1.015,0.085,-0.068,288.37024,43.35461,13.268,13.567,13.221,13.14,13.127,12.303,12.082,11.993,0.242,19.224703,2.2e-05,43.35439,0.00025,0.83,0.87,-0.8,0.9,-6.3e-05,6.7e-05,4.4e-05,6.9e-05,-0.46,1.0,-0.53,0.39,0.7,0.62,-0.6,1.0,-0.55,0.37,0.79,0.72,CANDIDATE
K04442.01,5529.0,91.0,-75.0,3.808,0.217,-0.078,0.14,0.15,-0.15,2.346,0.389,-0.722,1.291,0.129,-0.257,284.35312,48.740211,14.305,14.766,14.266,14.107,14.065,13.158,12.778,12.782,0.373,18.956885,3.8e-05,48.74049,0.00037,0.4,1.3,1.0,1.3,-4e-05,0.00015,-0.00011,0.00015,0.75,0.72,0.52,0.54,0.91,0.78,0.67,0.76,0.42,0.53,0.79,0.81,CANDIDATE
K04443.01,6681.0,161.0,-241.0,4.233,0.124,-0.186,-0.08,0.25,-0.3,1.438,0.459,-0.282,1.294,0.2,-0.2,288.56729,41.09013,13.802,14.098,13.755,13.675,13.657,12.839,12.64,12.561,0.075,19.237831,3e-05,41.08977,0.00031,0.4,1.2,-1.3,1.1,-1.5e-05,6.1e-05,6.8e-05,5.6e-05,-0.9,0.55,-0.93,0.61,1.29,0.73,-0.79,0.49,-0.9,0.6,1.2,0.7,CANDIDATE
K04226.01,5907.0,107.0,-131.0,4.212,0.143,-0.117,0.46,0.05,-0.15,1.442,0.263,-0.263,1.234,0.089,-0.109,300.56241,46.037819,12.83,13.373,12.766,12.597,12.51,11.618,11.317,11.197,0.385,20.037441,4.2e-05,46.03783,0.00044,-2.0,1.6,0.0,1.6,0.00014,0.00018,8e-05,0.00019,2.0,1.4,0.4,1.3,2.0,1.1,2.0,1.5,0.3,1.3,2.0,1.2,CANDIDATE
K04298.01,7087.0,250.0,-428.0,4.137,0.17,-0.187,-0.18,0.25,-0.35,1.684,0.501,-0.41,1.418,0.209,-0.255,291.54343,38.048759,13.458,13.659,13.332,13.372,13.243,12.402,12.154,12.159,0.011,19.4362,2.7e-05,38.04851,0.00037,-1.2,1.1,-0.9,1.3,8.4e-05,5.1e-05,5.8e-05,6e-05,-0.53,0.92,1.23,0.87,1.34,0.88,-0.2,1.0,1.33,0.87,1.35,0.88,CANDIDATE
K04366.01,5385.0,187.0,-187.0,4.61,0.037,-0.112,-0.36,0.3,-0.3,0.731,0.132,-0.057,0.797,0.093,-0.084,282.91397,47.970299,15.556,16.184,15.51,15.287,15.161,14.226,13.824,13.732,0.082,18.860913,2.1e-05,47.97065,0.00018,-0.68,0.75,1.25,0.66,-0.00016,0.00011,4.8e-05,9.4e-05,2.41,0.47,-2.66,0.42,3.59,0.44,0.23,0.39,-0.84,0.26,0.87,0.27,CANDIDATE
K04367.01,6127.0,73.0,-85.0,3.991,0.188,-0.101,0.21,0.15,-0.15,1.983,0.337,-0.506,1.405,0.127,-0.19,298.03305,39.883179,13.985,14.342,13.94,13.832,13.802,12.98,12.731,12.687,0.84,19.868885,2.2e-05,39.88315,0.00028,0.6,0.91,-0.1,1.0,-0.00015,0.00044,-7e-05,0.00049,0.23,0.23,-0.89,0.84,0.92,0.81,0.33,0.2,-0.89,0.68,0.95,0.62,CANDIDATE
K04431.01,6180.0,111.0,-135.0,4.294,0.099,-0.132,0.02,0.15,-0.15,1.235,0.223,-0.149,1.09,0.113,-0.066,283.72427,46.879112,12.674,13.044,12.607,12.517,12.533,11.5,11.272,11.228,0.066,18.914907,2.3e-05,46.87917,0.00023,-1.62,0.86,0.22,0.82,0.000102,5.6e-05,-2.1e-05,5.3e-05,0.29,0.95,0.1,1.4,0.3,0.92,0.16,0.9,0.0,1.5,0.2,1.0,CANDIDATE
K04302.01,6170.0,83.0,-83.0,4.15,0.168,-0.112,-0.22,0.15,-0.15,1.425,0.248,-0.275,1.047,0.094,-0.078,293.68127,41.611969,13.591,13.917,13.554,13.451,13.409,12.588,12.365,12.336,0.796,19.578755,2.7e-05,41.61206,0.00028,0.2,1.1,0.34,1.0,-1e-05,5.9e-05,-1.8e-05,5.4e-05,1.14,0.9,0.12,0.58,1.15,0.92,0.98,0.92,0.12,0.6,0.98,0.94,CANDIDATE
K04303.01,5566.0,83.0,-75.0,4.275,0.162,-0.108,0.14,0.15,-0.15,1.17,0.186,-0.204,0.94,0.068,-0.045,288.90952,51.930561,15.511,16.006,15.457,15.299,15.204,14.357,13.938,13.873,0.023,19.260678,4.2e-05,51.93056,0.00032,1.4,1.4,0.0,1.1,-0.0013,0.001,0.00106,0.00087,-3.31,0.35,1.7,1.3,3.73,0.67,-3.36,0.38,1.9,1.3,3.84,0.7,CANDIDATE
K04435.01,6339.0,141.0,-189.0,4.454,0.062,-0.2,-0.28,0.25,-0.3,1.017,0.298,-0.106,1.069,0.143,-0.143,281.95569,44.261532,13.517,13.832,13.456,13.382,13.358,12.572,12.29,12.221,0.007,18.797043,3.4e-05,44.26101,0.00033,-0.1,1.3,-1.9,1.2,-1e-05,8.1e-05,0.000118,7.5e-05,-0.4,0.57,-1.12,0.85,1.19,0.78,-0.34,0.58,-1.19,0.78,1.24,0.73,CANDIDATE
K03004.02,5902.0,70.0,-79.0,4.128,0.182,-0.098,0.16,0.15,-0.15,1.513,0.256,-0.313,1.12,0.11,-0.09,283.94244,41.4716,14.935,15.392,14.869,14.739,14.657,13.848,13.525,13.489,0.559,18.929502,5.1e-05,41.4718,0.00055,0.3,2.1,0.7,2.0,-0.00014,0.00051,-0.00025,0.00048,0.4,0.5,0.04,0.46,0.4,0.5,0.4,0.5,-0.03,0.47,0.4,0.5,CANDIDATE
K07662.01,6655.0,160.0,-200.0,3.49,0.376,-0.094,-0.48,0.4,-0.3,3.831,0.542,-1.627,1.653,0.219,-0.438,295.1442,38.799831,12.358,12.578,12.285,12.223,12.212,11.465,11.233,11.211,0.102,19.676297,1.2e-05,38.7998,0.00016,0.69,0.52,-0.11,0.58,-5.3e-05,4.1e-05,2.4e-05,4.6e-05,-0.15,0.3,-0.28,0.19,0.31,0.24,-0.04,0.31,-0.14,0.19,0.15,0.23,CANDIDATE
K04235.01,5751.0,77.0,-77.0,4.339,0.1,-0.15,0.32,0.1,-0.15,1.164,0.242,-0.149,1.079,0.073,-0.06,290.9227,48.180328,13.224,13.498,13.168,13.107,13.09,12.29,12.105,12.055,0.013,19.394892,2e-05,48.18026,0.00018,1.63,0.7,-0.24,0.64,-0.00045,0.00018,4e-05,0.00017,0.3,0.41,-0.15,0.39,0.33,0.44,0.22,0.42,-0.32,0.39,0.39,0.42,CANDIDATE
K04307.01,5999.0,80.0,-89.0,4.168,0.162,-0.108,0.18,0.15,-0.15,1.507,0.258,-0.315,1.225,0.087,-0.131,294.94983,38.60519,14.218,14.644,14.181,14.035,13.965,13.093,12.819,12.767,0.091,19.663327,2.5e-05,38.60481,0.00028,0.2,1.1,-1.4,1.0,-6e-05,0.0005,0.00057,0.00049,0.55,0.71,-0.41,0.99,0.69,0.82,0.54,0.71,-0.4,0.97,0.67,0.81,CANDIDATE
K02563.02,6384.0,151.0,-207.0,4.361,0.087,-0.203,-0.24,0.25,-0.3,1.121,0.352,-0.151,1.046,0.184,-0.107,288.09564,40.365971,13.973,14.329,13.924,13.82,13.776,12.901,12.662,12.62,0.262,19.206333,3.3e-05,40.36607,0.00032,-1.8,1.4,0.3,1.2,6.9e-05,6.5e-05,-1.6e-05,5.6e-05,-1.32,0.51,-0.14,0.37,1.33,0.52,-1.36,0.55,-0.2,0.51,1.38,0.6,CANDIDATE
K04374.01,5496.0,149.0,-149.0,4.592,0.032,-0.12,-0.24,0.3,-0.3,0.776,0.152,-0.065,0.869,0.074,-0.102,298.18341,48.44381,14.108,14.647,14.049,13.877,13.792,12.856,12.501,12.461,0.345,19.878924,3.4e-05,48.44398,0.00033,1.1,1.2,0.6,1.2,-0.0001,0.00015,-9e-05,0.00015,0.13,0.26,0.71,0.44,0.72,0.45,0.29,0.27,0.57,0.44,0.64,0.44,CANDIDATE
K04377.01,6918.0,72.0,-83.0,4.021,0.148,-0.121,0.0,0.15,-0.15,2.004,0.413,-0.338,1.536,0.149,-0.108,297.16089,40.042858,13.543,14.009,13.515,13.344,13.265,12.385,12.193,12.1,0.027,19.810727,2.1e-05,40.04249,0.00024,0.05,0.87,-1.35,0.87,2e-06,9.3e-05,0.00013,9.3e-05,-0.52,0.51,0.23,0.47,0.57,0.51,-0.56,0.51,0.18,0.47,0.59,0.51,CANDIDATE
K03043.02,5959.0,148.0,-171.0,4.549,0.031,-0.252,-0.32,0.26,-0.3,0.856,0.291,-0.07,0.945,0.09,-0.117,293.43079,46.692089,14.829,15.273,14.777,14.638,14.577,13.684,13.31,13.278,0.1376,19.57587532,3.308e-05,45.8888686,0.0003152,0.08,1.26,0.708,1.136,-0.0004806,0.0015699999999999998,-0.0003968,0.0020522,-0.6379999999999999,1.4599999999999997,1.006,2.146,4.7860000000000005,2.008,0.472,1.348,1.262,2.244,3.864,1.762,CANDIDATE
K04242.01,5578.0,100.0,-111.0,4.44,0.081,-0.099,0.0,0.15,-0.15,0.95,0.123,-0.082,0.905,0.062,-0.051,285.66006,46.143471,14.41,14.863,14.327,14.215,14.138,13.296,12.916,12.897,0.408,19.043987,2.2e-05,46.14358,0.00024,-0.69,0.8,0.4,0.88,0.00028,0.00034,-0.00017,0.00037,-0.11,0.27,0.31,0.32,0.33,0.31,-0.09,0.28,0.31,0.32,0.32,0.31,CANDIDATE
K07668.01,6278.0,174.0,-261.0,4.425,0.065,-0.195,-0.06,0.25,-0.3,1.081,0.329,-0.141,1.132,0.157,-0.157,295.37204,38.897739,15.588,16.048,15.536,15.391,15.306,14.518,14.171,14.187,0.031,19.691412,4.2e-05,38.89806,0.00048,-2.4,1.7,1.1,1.7,0.00046,0.00032,-0.00027,0.00032,1.5,1.1,0.84,0.54,1.68,0.96,1.4,1.3,0.88,0.69,1.6,1.1,CANDIDATE
K02732.04,6170.0,110.0,-135.0,4.192,0.137,-0.125,0.24,0.15,-0.15,1.499,0.272,-0.245,1.282,0.091,-0.114,289.92145,46.74456,12.805,13.129,12.743,12.666,12.635,11.83,11.575,11.537,0.084,19.328048,3.3e-05,46.74474,0.0003,-1.8,1.2,0.6,1.1,0.000111,7.4e-05,-3.7e-05,6.5e-05,-1.41,0.38,-0.9,1.1,1.69,0.67,-1.42,0.38,-1.0,1.1,1.72,0.68,CANDIDATE
K04245.01,6059.0,109.0,-146.0,4.151,0.168,-0.112,0.16,0.15,-0.15,1.554,0.269,-0.328,1.249,0.095,-0.143,290.48007,51.965012,13.572,13.962,13.515,13.405,13.369,12.449,12.197,12.159,0.286,19.365322,2.8e-05,51.96547,0.00029,-0.55,0.92,1.6,1.0,3.5e-05,9.7e-05,-9e-05,0.00011,0.62,0.68,0.47,0.81,0.78,0.66,0.69,0.7,0.46,0.77,0.83,0.66,CANDIDATE
K04247.01,5878.0,150.0,-191.0,4.512,0.032,-0.241,0.07,0.17,-0.29,0.945,0.294,-0.077,1.058,0.101,-0.129,285.85315,44.57222,15.346,15.831,15.276,15.138,15.079,14.196,13.859,13.719,0.0,19.056937,3.8e-05,44.57126,0.00041,2.3,1.4,-3.5,1.5,-0.0022,0.0013,0.003,0.0014,0.75,0.47,-0.64,0.94,0.98,0.77,0.7,0.43,-0.75,0.95,1.02,0.72,CANDIDATE
K04318.01,6356.0,115.0,-128.0,4.27,0.09,-0.11,0.0,0.15,-0.15,1.325,0.214,-0.175,1.191,0.096,-0.096,293.93832,45.719021,12.583,12.834,12.534,12.476,12.483,11.704,11.506,11.46,0.002,19.595913,1.2e-05,45.71886,0.00014,0.93,0.47,-0.59,0.51,-8.3e-05,4.3e-05,5.9e-05,4.7e-05,0.36,0.51,0.1,0.34,0.37,0.51,0.34,0.51,0.2,0.33,0.39,0.47,CANDIDATE
K04382.02,6484.0,155.0,-225.0,4.377,0.067,-0.283,-0.08,0.22,-0.34,1.173,0.56,-0.143,1.195,0.238,-0.182,288.16397,42.481079,14.144,14.451,14.089,14.013,14.004,13.241,12.965,12.927,0.139,19.2074392,3.699999999999999e-05,42.374148000000005,0.00039399999999999993,2.7920000000000003,1.4720000000000002,-3.1399999999999997,1.448,-0.00035339999999999997,0.0003446,0.0005742000000000001,0.0003282,-1.8210000000000002,0.2816,-1.1847999999999999,0.3216,4.019,0.3156,-1.7787999999999997,0.27799999999999997,-1.186,0.336,3.9692,0.308,CANDIDATE
K04178.01,6642.0,178.0,-218.0,4.39,0.062,-0.187,-0.3,0.25,-0.3,1.136,0.333,-0.143,1.157,0.162,-0.146,294.63516,40.322128,14.404,14.709,14.352,14.273,14.241,13.455,13.152,13.103,0.0,19.642353,1.8e-05,40.32317,0.00021,0.38,0.74,3.73,0.75,0.0002,0.00012,-0.00036,0.00012,-4.03,0.48,-0.22,0.53,4.04,0.48,-0.28,0.13,2.85,0.19,2.86,0.2,CANDIDATE
K00566.03,6122.0,182.0,-200.0,4.487,0.054,-0.216,-0.18,0.25,-0.35,0.964,0.302,-0.101,1.041,0.139,-0.139,292.31601,42.626251,14.718,15.15,14.656,14.533,14.458,13.553,13.201,13.19,0.269,19.487717,3.9e-05,42.62584,0.00039,-0.7,1.5,-1.5,1.4,0.00013,0.00027,0.00021,0.00025,0.72,0.73,-0.15,0.61,0.74,0.72,0.82,0.73,0.1,0.61,0.82,0.73,CANDIDATE
K04251.01,5751.0,156.0,-156.0,4.303,0.18,-0.18,0.0,0.25,-0.3,1.143,0.305,-0.222,0.956,0.125,-0.091,286.35339,44.961182,13.795,14.309,13.734,13.575,13.504,12.552,12.241,12.123,0.011,19.090238,2.4e-05,44.96155,0.00025,0.44,0.9,1.35,0.9,-6e-05,0.00013,-0.00018,0.00013,-0.17,0.39,0.26,0.36,0.31,0.38,-0.11,0.42,0.27,0.35,0.29,0.37,CANDIDATE
K04389.01,5410.0,334.0,-371.0,4.49,0.094,-0.175,-0.1,0.3,-0.3,0.859,0.235,-0.126,0.834,0.136,-0.094,293.13098,38.159679,15.05,15.701,14.947,14.771,14.942,13.798,13.545,13.415,0.0,19.542068,3.1e-05,38.16049,0.00034,0.1,1.3,2.9,1.2,-3e-05,0.00028,-0.0007,0.00027,-0.49,0.52,1.53,0.57,1.6,0.48,-0.65,0.52,1.92,0.55,2.03,0.46,CANDIDATE
K04390.01,5234.0,158.0,-174.0,3.436,0.402,-0.234,-0.36,0.3,-0.3,3.739,1.307,-1.743,1.39,0.192,-0.48,300.92484,44.24968,16.494,17.45,16.493,16.084,15.804,14.685,14.122,13.94,0.097,20.061702,2.4e-05,44.24934,0.00036,1.85,0.92,-1.2,1.3,0.00026,0.00067,0.00093,0.00094,-0.65,0.92,-0.84,0.35,1.06,0.63,-0.08,0.92,-0.63,0.35,0.64,0.36,CANDIDATE
K02744.02,5332.0,88.0,-72.0,4.083,0.368,-0.092,0.18,0.2,-0.1,1.453,0.218,-0.51,0.932,0.047,-0.058,293.52756,41.111439,15.162,15.694,15.101,14.933,14.837,13.886,13.521,13.406,0.147,19.568552,4e-05,41.1114,0.00044,1.9,1.6,-0.2,1.6,-0.00042,0.0003,2e-05,0.00029,-0.53,0.72,-0.52,0.4,0.74,0.59,-0.42,0.51,-0.39,0.47,0.58,0.49,CANDIDATE
K04253.01,6392.0,147.0,-228.0,4.399,0.057,-0.351,0.07,0.19,-0.37,1.162,0.72,-0.131,1.232,0.252,-0.208,283.72552,45.676849,14.201,14.547,14.151,14.053,14.051,13.236,13.007,12.908,0.436,18.915019,2.5e-05,45.67686,0.00028,-0.56,0.96,0.1,1.0,0.00043,0.00067,0.00012,0.00072,0.05,0.99,0.09,0.23,0.1,0.93,0.1,1.2,0.19,0.23,0.2,1.2,CANDIDATE
K04257.01,5745.0,156.0,-156.0,3.957,0.465,-0.155,-0.16,0.3,-0.25,1.763,0.428,-0.796,1.027,0.13,-0.159,295.1333,43.631432,13.34,13.896,13.312,13.102,13.045,12.097,11.716,11.643,0.778,19.675547,1.8e-05,43.6315,0.00022,-0.28,0.72,0.26,0.8,3.2e-05,9.7e-05,-3e-05,0.00011,0.96,0.36,0.24,0.21,0.99,0.35,0.96,0.36,0.2,0.21,0.98,0.35,CANDIDATE
K04323.01,6290.0,170.0,-208.0,4.133,0.252,-0.168,-0.14,0.25,-0.3,1.506,0.444,-0.4,1.123,0.181,-0.164,297.58194,40.5313,13.582,14.007,13.548,13.4,13.353,12.481,12.221,12.136,0.0,19.838838,2.3e-05,40.53173,0.00028,1.68,0.96,1.5,1.0,-0.0002,0.00011,-0.00021,0.00011,-0.3,1.4,-1.12,0.75,1.14,0.99,-0.3,1.3,-1.05,0.67,1.09,0.93,CANDIDATE
K04325.01,5936.0,176.0,-211.0,4.501,0.039,-0.221,0.07,0.25,-0.3,0.965,0.312,-0.104,1.075,0.124,-0.152,290.39172,43.440338,15.682,16.207,15.62,15.457,15.382,14.397,14.107,14.076,0.008,19.359444,3.2e-05,43.43975,0.00035,-0.2,1.3,-2.1,1.2,2e-05,0.00013,0.00021,0.00013,0.36,0.38,0.59,0.45,0.69,0.54,0.29,0.42,0.59,0.5,0.66,0.59,CANDIDATE
K07670.01,5841.0,163.0,-225.0,4.52,0.046,-0.196,0.07,0.25,-0.35,0.931,0.26,-0.087,1.047,0.101,-0.139,290.81589,38.970921,15.994,16.532,15.915,15.763,15.657,14.73,14.382,14.289,0.951,19.387718,3.9e-05,38.97114,0.00045,-0.3,1.6,0.8,1.6,4e-05,0.00027,-4e-05,0.00027,1.0,1.1,0.78,0.56,1.3,1.0,1.0,1.2,0.84,0.64,1.3,1.1,CANDIDATE
