kepoi_name,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition
K07534.01,6210.0,156.0,-194.0,4.424,0.056,-0.056,-0.1,0.2,-0.32,1.054,0.539,-0.102,1.07,0.24,-0.12,288.29788,51.326519,13.853,14.233,13.789,13.69,13.653,12.746,12.472,12.422,0.142,19.219897,4.9e-05,51.32707,0.00055,1.3,1.7,2.0,2.0,-0.0001,0.00013,-0.00011,0.00016,-0.06,0.66,1.6,1.3,1.6,1.3,0.07,0.6,1.7,1.2,1.7,1.2,CANDIDATE
K07535.01,5191.0,166.0,-142.0,4.615,0.059,-0.059,-0.84,0.34,-0.28,0.65,0.094,-0.052,0.635,0.08,-0.027,290.54504,51.32362,15.37,16.026,15.348,15.089,14.932,13.921,13.403,13.409,0.0,19.369746,4.6e-05,51.32474,0.0005,2.5,1.5,4.0,1.8,-0.00119,0.00072,-0.00158,0.00084,2.8,1.2,-0.2,1.1,2.8,1.2,2.8,1.1,-0.1,1.2,2.8,1.2,CANDIDATE
K07539.01,5061.0,167.0,-134.0,4.504,0.074,-0.074,0.0,0.3,-0.26,0.814,0.223,-0.079,0.771,0.119,-0.059,296.28311,51.404362,14.813,15.565,14.75,14.49,14.363,13.355,12.829,12.806,0.002,19.752289,3.9e-05,51.4042,0.0004,2.7,1.3,-0.6,1.4,-0.0006,0.00039,0.00046,0.00042,0.09,0.48,-0.49,0.68,0.5,0.69,0.22,0.5,-0.19,0.54,0.29,0.53,CANDIDATE
K07540.01,5573.0,149.0,-149.0,4.418,0.139,-0.186,-0.18,0.3,-0.3,0.936,0.239,-0.147,0.837,0.12,-0.065,289.82422,51.552029,13.852,14.398,13.797,13.618,13.539,12.613,12.234,12.178,0.0,19.321597,4.9e-05,51.55117,0.00044,-0.6,1.7,-3.1,1.6,0.0,0.00014,0.00029,0.00013,1.58,0.92,-2.35,0.65,2.83,0.92,1.12,0.87,-2.64,0.67,2.86,0.85,CANDIDATE
K04032.05,5574.0,111.0,-100.0,4.354,0.132,-0.108,0.12,0.15,-0.15,1.065,0.166,-0.15,0.933,0.067,-0.053,285.72849,42.65453,12.639,13.122,12.586,12.432,12.373,11.421,11.034,10.989,0.153,19.04856,2.1e-05,42.65475,0.00024,-0.26,0.85,0.8,0.87,1e-05,4.7e-05,-5e-05,4.8e-05,-0.36,0.9,0.7,1.3,0.8,1.5,-0.42,0.95,0.5,1.3,0.7,1.5,CANDIDATE
K04084.02,5375.0,167.0,-140.0,4.541,0.027,-0.027,0.3,0.14,-0.24,0.876,0.296,-0.059,0.972,0.06,-0.086,286.05243,39.09605,15.188,15.855,15.093,14.901,14.766,13.791,13.372,13.271,0.675,19.070156,3.7e-05,39.09581,0.00048,-0.2,1.6,-0.9,1.7,7e-05,0.0007,0.00037,0.00077,-0.19,0.35,0.15,0.53,0.24,0.43,-0.19,0.55,0.22,0.66,0.29,0.63,CANDIDATE
K04084.03,5323.0,79.0,-79.0,4.378,0.126,-0.084,0.16,0.15,-0.15,0.995,0.111,-0.135,0.862,0.064,-0.032,286.05243,39.09605,15.188,15.855,15.093,14.901,14.766,13.791,13.372,13.271,0.96,19.070154,3.6e-05,39.09595,0.00043,-0.3,1.5,-0.4,1.5,3e-05,0.00025,3e-05,0.00026,-0.73,0.47,0.83,0.57,1.1,0.61,-0.75,0.52,0.88,0.58,1.16,0.64,CANDIDATE
K04157.02,6202.0,99.0,-149.0,4.422,0.026,-0.136,0.21,0.15,-0.15,1.122,0.205,-0.058,1.213,0.076,-0.093,287.41006,39.65868,12.692,12.965,12.624,12.575,12.576,11.727,11.527,11.473,0.002,19.160615,2.5e-05,39.65838,0.00029,-2.3,1.0,-1.1,1.0,9.9e-05,4.7e-05,4.1e-05,4.8e-05,-0.78,0.9,0.56,0.64,1.0,1.1,-0.88,0.83,0.44,0.64,0.98,0.99,CANDIDATE
K06353.01,5768.0,192.0,-157.0,3.633,0.816,-0.192,-0.54,0.35,-0.25,2.81,0.797,-1.86,1.236,0.181,-0.392,287.22351,38.817612,13.472,14.025,13.447,13.234,13.12,12.213,11.902,11.823,0.015,19.148273,2.9e-05,38.81709,0.0004,1.6,1.2,-1.9,1.5,-7.1e-05,5.6e-05,8e-05,6.7e-05,0.39,0.44,-1.3,0.88,1.36,0.85,0.41,0.41,-1.28,0.86,1.34,0.81,CANDIDATE
K06355.01,5823.0,158.0,-175.0,4.489,0.062,-0.188,-0.14,0.3,-0.3,0.919,0.257,-0.11,0.951,0.111,-0.111,291.93356,38.827202,14.701,15.229,14.659,14.475,14.403,13.512,13.118,13.123,0.34,19.462208,3.9e-05,38.8275,0.00049,-1.2,1.7,1.1,1.8,0.00013,0.00017,-8e-05,0.00018,0.39,0.48,1.61,0.87,1.66,0.92,0.37,0.47,1.88,0.84,1.91,0.88,CANDIDATE
K06355.02,5823.0,159.0,-165.0,4.489,0.053,-0.053,-0.14,0.26,-0.28,0.919,0.371,-0.088,0.951,0.116,-0.102,291.93356,38.827202,14.701,15.229,14.659,14.475,14.403,13.512,13.118,13.123,0.001,19.462148,4.5e-05,38.82743,0.00056,-3.8,1.9,0.8,2.0,0.00041,0.0002,-6e-05,0.00022,-0.4,0.63,-1.1,1.1,1.2,1.0,-0.38,0.72,-0.9,1.4,1.0,1.2,CANDIDATE
K06358.01,5327.0,190.0,-169.0,4.646,0.032,-0.097,-0.5,0.3,-0.3,0.681,0.107,-0.046,0.772,0.072,-0.08,295.92456,38.876968,15.896,16.547,15.855,15.616,15.469,14.53,14.011,13.935,0.002,19.728402,9.7e-06,38.876957,8.3e-05,4.15,0.41,-0.05,0.3,-0.00014,0.00015,-0.00018,0.00012,-3.39,0.96,0.15,0.47,3.39,0.96,3.27,0.93,0.64,0.47,3.34,0.92,CANDIDATE
K06489.01,5780.0,151.2,-174.4,4.438,0.16499999999999998,-0.19619999999999999,0.066,0.2144,-0.27840000000000004,1.0,0.5953999999999999,-0.4286,1.0,0.2224,-0.183,294.6561,40.13726,13.697,14.221,13.62,13.473,13.342,12.405,12.074,12.025,0.345,19.643757,5.1e-05,40.1369,0.00057,0.7,2.1,-1.3,2.1,-5e-05,0.00014,9e-05,0.00014,-1.7,1.0,-1.34,0.88,2.16,0.84,-1.7,1.0,-1.28,1.0,2.13,0.9,CANDIDATE
K06610.01,6040.2,178.0,-205.0,4.4968,0.0486,-0.219,-0.27599999999999997,0.27,-0.288,0.9259999999999998,0.3606,-0.08860000000000001,0.9766,0.1274,-0.11439999999999999,295.55298,40.877991,15.341,15.939,15.304,15.084,14.965,13.939,13.477,13.48,0.088,19.703555,3.4e-05,40.87814,0.0003,0.9,1.4,0.5,1.1,-0.0009,0.00098,-0.00061,0.0008,-1.0,1.3,-1.7,1.0,2.0,1.1,-1.2,1.3,-1.9,1.0,2.3,1.1,CANDIDATE
K06617.01,5830.0,157.0,-175.0,4.54,0.046,-0.195,-0.14,0.3,-0.3,0.876,0.246,-0.082,0.97,0.104,-0.116,290.91504,40.988499,15.032,15.534,14.966,14.817,14.718,13.819,13.475,13.413,0.084,19.394377,4.4e-05,40.98799,0.00043,1.7,1.8,-1.8,1.6,-0.00011,0.00016,0.00015,0.00013,-0.08,0.84,-0.7,1.1,0.7,1.1,0.0,0.87,-0.6,1.1,0.6,1.1,CANDIDATE
K06745.01,6675.0,150.0,-279.0,4.341,0.076,-0.076,0.07,0.17,-0.51,1.293,0.572,-0.211,1.336,0.202,-0.294,294.28693,42.032791,15.232,15.561,15.186,15.091,15.051,14.272,13.983,13.954,0.002,19.61905,4.5e-05,42.03255,0.00042,-3.2,1.8,-0.9,1.5,0.00138,0.00082,0.00047,0.00069,2.5,0.71,-1.5,1.1,2.9,1.2,2.43,0.82,-1.4,1.2,2.8,1.3,CANDIDATE
K06746.01,6274.0,198.0,-242.0,4.139,0.286,-0.154,-0.36,0.3,-0.3,1.428,0.407,-0.407,1.024,0.169,-0.138,297.62299,42.09882,14.121,14.553,14.083,13.936,13.822,12.957,12.689,12.585,0.171,19.8415269,7.2e-06,42.09886,5.9e-05,-0.2,0.29,0.14,0.21,0.00046,0.00066,0.00018,0.00073,0.399,0.098,-0.158,0.067,0.429,0.094,0.42,0.15,-0.036,0.089,0.42,0.15,CANDIDATE
K06750.01,5529.0,82.0,-71.0,4.123,0.217,-0.108,0.14,0.15,-0.1,1.412,0.223,-0.307,0.965,0.075,-0.05,281.5202,42.169472,14.43,14.883,14.378,14.235,14.223,13.339,12.943,12.898,0.913,18.76801,3.9e-05,42.16935,0.00042,-0.1,1.6,-0.4,1.5,-4e-05,0.00014,0.0,0.00013,0.58,0.54,0.7,1.1,0.89,0.88,0.6,0.57,0.6,1.0,0.83,0.83,CANDIDATE
K06751.01,5761.0,78.0,-78.0,4.492,0.022,-0.12,0.14,0.15,-0.15,0.956,0.143,-0.048,1.035,0.05,-0.068,281.64999,42.132061,15.183,15.611,15.107,14.999,14.873,13.933,13.58,13.441,0.131,18.776682,2.7e-05,42.13226,0.00033,0.7,1.1,0.7,1.2,-0.00085,0.00079,-0.00069,0.00087,-0.65,0.74,-0.22,0.33,0.69,0.7,-0.76,0.67,-0.34,0.31,0.83,0.57,CANDIDATE
K06752.01,4183.0,125.0,-138.0,4.655,0.056,-0.024,-0.26,0.3,-0.3,0.594,0.043,-0.064,0.582,0.064,-0.058,284.27499,42.123779,15.537,16.813,15.512,14.99,14.719,13.523,12.863,12.75,0.062,18.951639,3.4e-05,42.1244,0.00038,-1.1,1.4,2.2,1.4,7e-05,0.00039,-0.0005,0.00039,0.56,0.51,1.23,0.74,1.35,0.71,0.49,0.71,1.34,0.68,1.43,0.68,CANDIDATE
K06878.01,5450.0,146.0,-163.0,4.573,0.027,-0.153,0.07,0.25,-0.3,0.83,0.174,-0.062,0.939,0.066,-0.1,292.72079,43.076809,14.709,15.312,14.643,14.45,14.359,13.412,13.036,12.921,0.157,19.514704,2.7e-05,43.07656,0.00027,-0.6,1.0,-0.88,0.96,8e-05,0.00018,0.00016,0.00017,1.38,0.62,0.27,0.4,1.41,0.61,1.32,0.61,0.25,0.4,1.35,0.6,CANDIDATE
K06882.01,6296.0,177.0,-243.0,4.217,0.185,-0.185,-0.14,0.25,-0.3,1.35,0.427,-0.32,1.093,0.181,-0.148,296.28384,43.033981,14.752,15.207,14.72,14.557,14.477,13.603,13.32,13.189,0.0,19.752299,2.8e-05,43.03481,0.00035,1.7,1.1,3.0,1.3,-0.0003,0.00018,-0.00046,0.0002,1.41,0.35,0.26,0.38,1.43,0.35,1.18,0.35,0.59,0.38,1.32,0.36,CANDIDATE
K06884.01,5537.8,132.4,-143.8,4.244200000000001,0.3252,-0.1456,-0.34,0.25,-0.25,1.3266,0.4614000000000001,-0.5104000000000001,0.8686,0.11739999999999999,-0.0896,294.6015,43.159935,13.583,14.309,13.54,13.27,13.461000000000002,12.281,12.032,11.952,0.001,19.640094,1.2e-05,43.15958,0.00018,-0.23,0.46,-1.28,0.64,7e-06,1.5e-05,4.3e-05,2.2e-05,-0.04,0.52,0.15,0.46,0.16,0.62,-0.07,0.5,0.14,0.46,0.15,0.61,CANDIDATE
K07144.01,5120.0,170.0,-154.0,4.478,0.099,-0.11,0.07,0.25,-0.3,0.853,0.104,-0.104,0.797,0.088,-0.064,284.12521,45.628052,15.695,16.458,15.634,15.369,15.257,14.2,13.674,13.589,0.003,18.941751,4.2e-05,45.62741,0.00046,2.7,1.6,-2.3,1.6,-0.00024,0.00014,0.00021,0.00015,-0.22,0.85,0.08,0.67,0.23,0.93,-0.28,0.88,-0.06,0.56,0.29,0.84,CANDIDATE
K07148.01,6544.0,181.0,-250.0,4.349,0.072,-0.217,-0.14,0.25,-0.3,1.207,0.411,-0.165,1.193,0.192,-0.174,293.17194,45.677391,15.02,15.388,14.966,14.863,14.798,13.971,13.708,13.557,0.014,19.544798,2.8e-05,45.67811,0.00041,0.0,1.0,2.6,1.5,0.0,0.00034,-0.00087,0.00049,-0.24,0.61,0.18,0.94,0.3,0.75,-0.2,0.63,0.2,1.0,0.27,0.85,CANDIDATE
K07279.01,5410.0,81.0,-72.0,4.333,0.154,-0.126,0.12,0.15,-0.1,1.056,0.191,-0.173,0.875,0.063,-0.036,280.71948,47.07222,13.717,14.206,13.663,13.507,13.423,12.461,12.162,12.108,0.005,18.714525,4.4e-05,47.07277,0.00041,-3.9,1.6,2.0,1.5,0.00025,0.00011,-0.00011,0.0001,-1.88,0.5,-0.53,0.56,1.95,0.54,-1.79,0.53,-0.28,0.55,1.82,0.53,CANDIDATE
K07281.01,6881.0,199.0,-296.0,4.101,0.186,-0.186,-0.24,0.26,-0.34,1.714,0.871,-0.456,1.356,0.271,-0.278,288.21976,47.041279,12.446,12.641,12.381,12.349,12.354,11.567,11.38,11.309,0.002,19.2146554,5e-06,47.041181,5.7e-05,0.2,0.18,-0.36,0.21,-2.7e-05,2e-05,3.1e-05,2.3e-05,-0.06,0.21,0.09,0.2,0.11,0.14,-0.09,0.19,-0.04,0.22,0.09,0.21,CANDIDATE
K07282.01,4744.0,150.0,-125.0,4.606,0.027,-0.027,0.1,0.24,-0.3,0.725,0.065,-0.051,0.772,0.054,-0.069,289.96161,47.08036,15.59,16.492,15.501,15.204,14.997,13.93,13.368,13.215,0.0,19.330759,3.5e-05,47.08108,0.00033,-0.6,1.3,2.6,1.2,0.00012,0.00022,-0.00046,0.0002,0.66,0.55,0.0,0.34,0.66,0.55,0.62,0.55,-0.03,0.34,0.62,0.55,CANDIDATE
K00566.02,6122.0,182.0,-200.0,4.487,0.054,-0.216,-0.18,0.25,-0.35,0.964,0.302,-0.101,1.041,0.139,-0.139,292.31601,42.626251,14.718,15.15,14.656,14.533,14.458,13.553,13.201,13.19,0.986,19.48773,4.8e-05,42.62619,0.00048,-0.1,1.9,-0.2,1.7,3e-05,0.00023,-1e-05,0.0002,1.35,0.49,0.52,0.66,1.45,0.51,1.38,0.49,0.67,0.67,1.54,0.53,CANDIDATE
